,Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q36A,Q40A,Q41A,Q42A,scores
36353,1,1,2,2,1,2,3,1,1,1,3,2,1,3,3,3,2,2,3,2,2,41
36354,1,3,2,3,3,2,2,3,2,1,2,3,3,3,2,2,1,2,1,3,2,46
36355,3,1,1,4,1,1,3,2,2,1,1,4,3,1,2,1,2,3,3,1,1,41
36356,3,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,3,2,2,1,1,31
36357,2,3,1,4,2,1,3,3,3,2,2,1,2,2,3,4,2,3,3,1,2,49
36358,1,1,1,3,2,1,2,1,2,1,1,1,2,1,3,3,3,1,3,1,3,37
36359,4,3,2,3,1,2,3,3,2,2,3,3,4,3,2,4,3,4,4,2,3,60
36360,1,3,2,2,1,1,3,1,3,1,1,3,1,1,3,2,1,3,3,1,3,40
36361,4,3,2,4,4,1,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,75
36362,4,2,4,4,3,2,4,4,2,1,4,3,3,3,4,4,2,4,4,3,4,68
36363,4,4,2,3,1,4,2,2,4,4,2,2,4,2,4,4,3,3,4,4,4,66
36364,3,2,2,4,1,1,3,1,3,2,2,4,1,3,2,4,3,3,4,2,2,52
36365,1,2,2,3,2,1,1,2,2,1,3,2,2,3,1,2,2,2,3,2,3,42
36366,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,81
36367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,22
36368,2,2,4,4,2,2,3,1,2,2,3,3,3,4,4,2,1,2,3,4,2,55
36369,3,3,2,3,2,1,4,2,3,1,2,4,2,4,3,3,2,3,4,2,2,55
36370,2,2,2,3,1,2,3,2,3,1,2,2,4,3,3,3,3,2,4,2,4,53
36371,2,1,1,2,1,1,2,1,1,1,1,2,1,4,1,1,1,2,2,1,2,31
36372,4,2,3,2,3,3,3,3,3,4,2,3,3,2,3,3,3,3,3,2,3,60
36373,2,2,2,3,1,2,2,3,3,1,2,3,3,3,2,3,3,2,3,2,2,49
36374,2,1,1,2,1,1,2,4,2,1,4,1,2,2,1,2,4,4,4,1,2,44
36375,1,1,1,2,1,1,1,1,3,1,3,1,4,4,1,2,1,1,1,1,4,36
36376,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,2,32
36377,4,4,4,3,1,1,4,4,4,2,2,3,4,2,4,4,2,4,4,4,4,68
