,Q1A,Q6A,Q8A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,scores
172,3,2,4,3,4,2,3,3,2,2,3,3,2,4,4,3,3,3,1,3,57
173,2,2,2,2,2,2,2,3,1,3,3,1,1,2,2,2,2,2,3,2,41
174,2,4,1,2,4,2,2,3,1,2,2,4,3,3,3,2,3,2,3,4,52
175,3,3,4,4,3,2,4,4,2,4,4,4,1,4,4,3,4,3,4,4,68
176,2,2,3,3,3,2,2,3,2,1,2,2,1,3,3,2,4,2,4,3,49
177,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,27
178,2,2,4,2,3,3,4,1,1,3,4,1,1,2,3,3,2,4,1,2,48
179,3,4,4,2,3,3,4,2,1,3,3,2,2,3,2,3,2,4,2,2,54
180,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,23
181,1,2,1,1,2,1,1,3,1,2,1,2,2,2,2,2,4,1,4,1,36
182,2,1,4,1,2,1,4,2,1,3,1,3,3,3,2,3,3,3,3,3,48
183,4,3,2,4,1,1,4,4,4,4,3,2,2,3,3,2,4,4,3,4,61
184,3,4,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,38
185,3,3,2,2,3,3,1,4,1,2,1,3,2,3,3,3,2,3,2,3,49
186,1,3,2,1,3,2,4,3,1,2,3,2,2,2,2,3,1,4,2,2,45
187,4,2,2,2,4,1,2,3,1,2,3,4,3,3,3,3,2,2,3,3,52
188,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,77
189,2,3,2,2,3,2,2,3,1,1,3,4,1,3,4,3,1,2,2,4,48
190,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,78
191,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,4,75
192,2,4,3,4,4,2,4,1,2,3,2,1,1,4,4,4,2,3,1,3,54
193,4,4,4,4,4,1,4,4,1,4,4,4,1,4,4,4,4,1,4,4,68
194,2,2,4,2,2,4,2,3,2,2,2,2,2,3,2,3,2,4,2,2,49
195,1,3,3,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,35
196,2,3,2,2,2,2,2,3,1,2,1,2,2,2,2,2,1,2,2,2,39
197,1,1,2,1,1,2,2,1,2,1,2,1,2,3,1,2,2,2,1,1,31
198,3,2,3,4,3,3,4,4,2,3,3,4,4,4,3,3,3,3,3,3,64
199,4,4,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,3,3,4,73
200,3,4,4,2,3,3,4,3,2,3,3,1,1,4,4,4,3,2,4,3,60
201,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,28
202,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,78
203,3,3,3,3,3,1,3,4,2,2,4,2,1,2,3,3,2,1,1,1,47
204,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,3,1,1,31
205,2,4,4,2,3,4,3,3,2,2,2,3,2,3,3,3,3,3,4,3,58
206,2,2,2,3,2,3,3,2,1,4,4,1,2,3,3,2,2,3,2,4,50
207,2,2,2,3,3,3,2,3,1,2,2,2,2,2,2,2,2,3,2,2,44
208,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,26
209,4,2,2,1,4,1,2,3,1,3,4,1,3,1,1,2,1,1,3,3,43
210,1,2,4,2,1,3,2,3,1,2,2,1,4,4,3,1,2,2,3,3,46
211,4,3,4,2,4,3,3,2,1,2,2,4,1,4,4,3,2,3,2,4,57
212,2,2,4,2,2,3,2,4,1,2,2,3,3,4,2,2,2,3,2,2,49
213,1,2,1,1,1,3,3,1,1,1,2,1,1,2,1,2,1,1,1,2,29
214,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,39
215,4,4,4,4,3,3,3,2,2,4,3,2,2,4,3,4,2,3,1,3,60
216,3,4,4,2,4,2,3,4,1,3,3,4,2,3,4,4,2,4,4,4,64
217,3,2,3,2,3,2,3,3,1,3,2,3,2,3,3,2,3,2,3,3,51
218,2,3,2,1,3,2,1,4,2,1,1,2,1,2,4,2,3,1,2,3,42
219,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,36
220,2,3,4,4,4,4,4,2,2,3,4,1,3,2,1,3,1,4,1,2,54
221,4,4,3,3,3,4,4,4,3,3,2,4,3,3,4,3,3,4,4,4,69
222,4,4,4,4,4,4,4,3,1,4,1,4,4,4,1,4,1,4,1,4,64
223,3,2,1,2,2,2,3,1,1,3,4,1,2,2,2,2,2,2,3,3,43
224,2,4,4,3,4,2,4,4,4,2,4,3,1,3,4,4,1,2,2,4,61
225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
226,4,4,4,4,4,3,4,4,2,3,4,3,3,4,4,4,4,2,4,4,72
227,2,3,4,1,2,2,1,2,1,2,1,2,1,1,2,2,3,2,1,2,37
228,3,2,2,1,2,1,2,1,1,1,3,2,1,1,3,3,2,1,2,3,37
229,2,4,2,4,3,1,4,1,2,4,3,2,1,3,3,2,4,1,1,2,49
230,2,1,2,4,3,1,1,2,3,3,3,1,1,2,2,4,4,1,3,2,45
231,3,2,3,4,3,2,4,3,1,4,4,1,2,3,4,2,2,2,3,4,56
232,1,2,2,3,3,2,3,2,1,3,2,2,1,2,2,3,2,2,2,3,43
233,4,2,2,1,4,3,3,1,1,2,2,4,1,2,2,3,2,2,2,2,45
234,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
235,1,4,1,4,2,3,1,1,1,4,4,1,1,1,1,1,1,3,1,1,37
236,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,30
237,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,58
238,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,3,1,2,35
239,1,1,2,4,4,4,4,4,4,4,4,2,4,3,4,4,3,2,4,4,66
240,4,4,4,4,3,4,4,3,1,4,4,3,4,3,4,4,4,4,3,3,71
241,4,3,3,4,2,4,4,1,2,4,4,4,2,4,1,3,2,4,1,3,59
242,4,3,4,1,4,2,2,3,1,2,3,4,1,4,4,4,4,1,4,4,59
243,2,2,4,1,1,2,1,3,2,1,1,1,1,1,3,1,2,2,1,2,34
244,2,2,3,4,3,2,4,2,1,2,4,2,4,2,3,2,1,3,1,2,49
245,2,2,3,2,1,3,3,1,1,2,2,2,1,2,1,2,1,3,1,2,37
246,2,1,4,4,3,3,2,3,3,4,4,3,2,3,4,3,3,3,2,3,59
247,4,1,2,1,2,2,3,2,1,2,4,1,1,4,1,2,4,3,4,3,47
248,4,2,4,2,4,3,4,1,1,2,1,2,3,2,3,2,2,4,2,1,49
249,4,3,4,4,3,3,2,2,1,3,4,3,4,2,3,3,2,3,3,3,59
250,4,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,73
